timestamp,action,thumb_force,index_force,middle_force,ring_force,little_force
2025-10-12T11:00:47.118,open_all,144,35,165,260,65475
2025-10-12T11:00:47.332,open_all,144,35,165,260,65475
2025-10-12T11:00:47.535,open_all,144,35,165,260,65475
2025-10-12T11:00:47.736,open_all,144,35,165,260,65475
2025-10-12T11:00:47.953,open_all,144,35,165,260,65475
2025-10-12T11:00:48.167,open_all,144,35,165,260,65475
2025-10-12T11:00:48.373,open_all,144,35,165,260,65475
2025-10-12T11:00:48.574,open_all,144,35,165,260,65475
2025-10-12T11:00:48.775,open_all,144,35,165,260,65475
2025-10-12T11:00:48.978,open_all,144,35,173,260,65475
2025-10-12T11:00:49.394,open_all,144,36,193,260,65475
2025-10-12T11:00:49.610,open_all,144,36,188,260,65475
2025-10-12T11:00:49.814,open_all,144,36,188,259,65475
2025-10-12T11:00:50.017,open_all,144,36,188,259,65475
2025-10-12T11:00:50.233,open_all,144,36,188,259,65475
2025-10-12T11:00:50.447,open_all,144,36,188,259,65475
2025-10-12T11:00:50.663,open_all,144,36,188,259,65475
2025-10-12T11:00:50.879,open_all,144,36,188,259,65475
2025-10-12T11:00:51.080,open_all,144,36,188,259,65475
2025-10-12T11:00:51.295,open_all,144,36,188,259,65475
2025-10-12T11:00:51.497,open_all,144,36,188,259,65475
2025-10-12T11:00:51.702,open_all,144,36,188,259,65475
